carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3035.2599722196765
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,754.0912645017656
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1393.271662734785
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7251.52607420303
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16787.987184891837
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13699.934132376175
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4986.478435287052
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2933.729153263825
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2476.8022907956706
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4238.454917409159
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6221.320361674995
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,1249.5967372516584
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,821.6506470068766
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,1022.5856497967338
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1452.7565648640834
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1534.8933125392791
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-1541.2598491224867
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19780.6978143744
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4791.181789702894
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1398.371554135972
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4841.481730138331
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,986.9192055725011
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4624.562041379277
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5415.5872036569945
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7262.916416216134
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1423.3508240521828
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3027.3017360463095
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2252.219506616872
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,2062.5422795515383
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,-2057.3844423469586
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5537.6468523923195
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1474.8335528616076
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3454.0800934823123
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3436.9260246751373
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1145.7993818461741
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6858.009542935111
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1866.695239748064
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6486.129919446841
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,378.6842341746019
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-1458.664078774285
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1555.1076296341275
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,835.5871314250021
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,323.3529548372994
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,826.1304175212013
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,9497.053162852239
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5724.546281617078
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9606.300452848096
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,435.80954587795804
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1507.1962064311915
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4051.838686231141
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,2045.8717647188482
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5065.216231620454
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7355.139208737761
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,-133.84339336458243
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3654.537573197787
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,9520.995966936687
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-288.25383603430737
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,921.5991713666051
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6210.868184853698
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4486.64477011608
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2301.7086544542776
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1968.2948249692258
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4430.814385942196
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1077.8243355857999
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,2103.1618561314067
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8736.3949725513
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1086.7790013879726
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2517.3634516676875
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6797.99735135815
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1492.943292827224
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,-444.5841502309281
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,-79.0608565553407
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6446.863876946822
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,215.64337412813848
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,550.2884735782995
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4460.835545541196
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,292.13485393428664
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1876.3559136288873
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1260.2863570668974
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,790.3972238297497
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1602.3161255048303
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1608.649062802759
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,577.1137677500042
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4807.4806603120105
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2666.313761747244
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1900.6640961590406
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,-1147.0487770622517
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2764.022909553048
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3760.2012046049526
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4843.073964411108
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2169.8929395591763
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10044.138804716806
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10216.177921750508
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1634.3517197632796
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5990.616572052431
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17571.326216065252
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7114.4328627757495
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1458.586384037891
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2935.917347189077
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,6153.744856910531
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6097.974359017544
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5833.542539843855
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3489.208237122123
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5523.166073500625
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10408.41867433763
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1755.8381450142347
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,-812.9497777441998
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,-1114.1875627186255
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,463.0033451620525
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3523.4032381835455
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,1238.345220023331
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5273.506498316929
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,2064.5462834656687
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2645.1858169191432
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,2031.0726759245194
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,718.3561810197948
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,363.02786920508925
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7524.643946906472
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,448.6797717105551
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,56.52706746093145
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9182.644548708355
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4780.81705875903
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,837.7525322860079
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,2061.7758937887916
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6611.03009820379
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4832.590065108746
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2784.0746145624207
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3556.3626552390847
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,376.2399721302695
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5216.130211307767
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4256.448324516894
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1609.756547103008
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,510.0189572201093
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,2134.536950090411
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4664.593629554162
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5397.046767696307
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5550.201656786943
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3912.727895013728
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3935.0066877942963
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,140.3949188665888
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8575.682140329358
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1218.5199608957778
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5787.9600836146055
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6944.8563473062
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,1120.8478631306684
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1330.9224464735094
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,3062.688969665482
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4476.150079609688
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4276.370293008662
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4007.904660967204
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5273.365533003281
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3640.357765763488
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,810.4793741252402
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,836.2531618411927
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10854.17429679401
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6608.262945288912
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1796.9680015538474
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,554.2881241436285
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,11137.534306714822
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12909.680679193612
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,178.99851294329028
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,-1171.3105444910584
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6652.712160542935
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,635.0438970938699
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2196.689945345133
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4126.984709119983
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1442.728717034423
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1021.3262083218847
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5784.821840098401
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9279.448681476237
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2578.511096281594
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1118.2296379131153
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2364.539295098934
