carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3035.26
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,754.09
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1393.27
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7251.53
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16787.99
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13699.93
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4986.48
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2933.73
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2476.8
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4238.45
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6221.32
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,1249.6
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,821.65
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,1022.59
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1452.76
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1534.89
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-1541.26
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19780.7
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4791.18
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1398.37
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4841.48
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,986.92
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4624.56
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5415.59
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7262.92
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1423.35
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3027.3
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2252.22
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,2062.54
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,-2057.38
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5537.65
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1474.83
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3454.08
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3436.93
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1145.8
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6858.01
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1866.7
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6486.13
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,378.68
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-1458.66
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1555.11
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,835.59
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,323.35
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,826.13
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,9497.05
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5724.55
1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9606.3
0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,435.81
0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1507.2
0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4051.84
0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,2045.87
1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,5065.22
1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7355.14
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,-133.84
0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3654.54
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,9521.0
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-288.25
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,921.6
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,6210.87
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4486.64
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2301.71
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1968.29
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4430.81
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1077.82
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,2103.16
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8736.39
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1086.78
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2517.36
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6798.0
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1492.94
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,-444.58
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,-79.06
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6446.86
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,215.64
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,550.29
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4460.84
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,292.13
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1876.36
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1260.29
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,790.4
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1602.32
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1608.65
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,577.11
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4807.48
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2666.31
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1900.66
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,-1147.05
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2764.02
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3760.2
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4843.07
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2169.89
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10044.14
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10216.18
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1634.35
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5990.62
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17571.33
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7114.43
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1458.59
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2935.92
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,6153.74
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6097.97
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5833.54
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3489.21
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5523.17
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10408.42
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1755.84
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,-812.95
