,Unnamed: 0,indice,nome,ingredientes,modo de preparo,rendimento,tempo_de_preparo_min,sites,categorias,tempo_de_cozimento_min,tempo_de_espera_min
0,0,0,nougat-de-chocolate-do-chef-christophe-rhedon,"310 gramas de acucar, 90 gramas de glucose, 380 gramas de mel em ponto anterior a ebulicao, 30 gramas de acucar de confeiteiro para polvilhar, 200 gramas de pistache, 30 gramas de amido de milho para polvilhar, 300 gramas de amendoas torradas, 120 gramas de agua, 260 gramas de cacau em barra 100%, 100 gramas de claras de ovos","['Quando o termometro dentro da panela de acucar atingir 130degC, o mel devera estar em ponto anterior a ebulicao. Jogue o mel por cima da calda de acucar. Deixe que essa mistura atinja 170degC.', 'Quando a mistura de acucar estiver por volta de 145degC, comece a bater as claras. As claras devem dobrar de volume, mas nao podem ficar duras, portanto bata em velocidade media e assim que perceber que elas dobraram de volume, diminua a velocidade da batedeira.', 'Coloque o mel para esquentar.', 'No bowl da batedeira coloque as claras.', 'Em uma xicara molhada com agua, separe a glucose.', 'Para saber se a massa esta no ponto certo, pegue uma xicara com agua e gelo e coloque um pedacinho da massa dentro. Se formar uma bolinha levemente dura, quase como uma bala-puxa, e porque a massa esta pronta.', 'Ao terminar de derramar toda a calda, troque o modulo fouet da batedeira pelo modulo da raquete. Diminua a velocidade da batedeira para media, pegue o macarico e va passando em torno do bowl por aproximadamente 8 a 10 minutos, para que a agua da massa evapore.', 'Deixe esfriar e esta pronto!!', 'Quando a calda de acucar chegar a 170degC, aumente a velocidade da batedeira para maxima e va derramando a calda aos pouquinhos por cima das claras.', 'Em uma panela media coloque o mel. Reserve.', 'Em uma panela grande coloque o acucar e por cima a agua. Reserve.', 'Jogue as amendoas e os pistaches (mornos) por cima da massa tambem. Esses ingredientes precisam estar mornos para nao endurecer a massa.', 'Coloque a agua com o acucar para esquentar no fogo. Nao mexa. Assim que ferver adicione a glucose. Coloque o termometro dentro da panela.', 'Comece separando cada ingrediente em seu devido recipiente. Nao comece a receita sem antes fazer isso, pois muitas preparacoes acontecem ao mesmo tempo:', 'Na bancada polvilhada com acucar de confeiteiro e amido de milho, coloque a massa do nougat e com as maos alise. Forme um quadrado de 2 cm de altura por aproximadamente 20X20 cm.', 'Polvilhe uma bancada de superficie lisa com o amido de milho e o acucar misturados.', 'Em uma forma, coloque as amendoas e leve ao forno pre-aquecido a 220degC por 15 minutos, ou ate que estejam tostadas. Desligue o forno, coloque os pistaches por cima das amendoas e deixe a forma dentro do forno.', 'Com uma faca de chef bem afiada, corte o nougat em barras de 7X2 cm.', 'Entao jogue o chocolate derretido e morno por cima da massa ainda batendo com a batedeira. Deixe misturar.', 'Em uma tigela refrataria coloque o cacau em barra e leve para derreter no microondas. Nao se esqueca de tirar de 30 em 30 segundos e mexer vigorosamente para ele nao queimar.']",15 pessoas,20.0,https://www.daninoce.com.br/receitas/nougat-de-chocolate-do-chef-christophe-rhedon/,nougat-marshmallow,0.0,0.0
1,1,1,marshmallow-caseiro,"1 xicara de acucar de confeiteiro peneirado, 1 pitadinha de sal, 2 colheres de sopa de gordura hidrogenada (somente para untar a forma), 1/2 xicara de agua filtrada, 2 colheres de cha de extrato de baunilha (ou qualquer licor ou essencia, que voce preferir), 2 xicaras de acucar, 12 folhas de gelatina, 1 xicara de glucose (xarope de milho)","['Corte os marshmallows em quadradinhos e passe no acucar de confeiteiro. Esta pronto! ;D', 'Jogue um pouco de acucar de confeiteiro por cima e deixe descansar por 6 horas.', 'Em um bowl, coloque as folhas de gelatina com agua filtrada e gelo. Deixe descansar.', 'Coloque o restante da glucose na batedeira', 'Coloque agua para ferver em uma panela pequena para fazer o banho-maria. Drene a gelatina e despreze a agua e o gelo.', 'Ligue a batedeira no minimo, acrescente a gelatina aos poucos.', 'Quando tiver colocado toda a mistura de acucar aumente a velocidade da batedeira para media-alta e deixe bater por 5 minutos. O Marshmallow vai comecar a ficar branco e fofo.', 'Quando a calda de acucar chegar a 112degC/115degC, retire do fogo, aumente a velocidade da batedeira para media e entao coloque a mistura de acucar lentamente.', 'Coloque a mistura na forma untada e arrume com a espatula.', 'Em uma panela media, coloque o acucar, metade da glucose e 1/2 xicara de agua em fogo medio. Coloque o termometro de acucar dentro da panela e deixe ferver ate chegar a 112degC / 115degC, aproximadamente 6 minutos.', 'Coloque a gelatina em banho-maria. Mexendo sempre, deixe que ela derreta. Cuidado para nao passar de 60degC.', 'DICA: Nao deixe que o acucar ou a glucose grudem na borda da panela, pois isso pode fazer com que a calda queime nas bordas e escureca.', 'Acrescente a baunilha (ou a essencia que preferir) e o sal. Aumente a velocidade para maxima e bata por mais 1 minuto.', ' Unte uma forma de, aproximadamente, 23x33cm com a gordura hidrogenada.']",15 pessoas,20.0,https://www.daninoce.com.br/receitas/marshmallow-caseiro/,nougat-marshmallow,6.0,360.0
2,2,2,nha-benta,"forma/molde para bombons, 2 colheres (sopa) de agua para hidratar a gelatina, 350 gramas de chocolate meio amargo, 1 e 1/3 xicara (cha) de acucar, 1/2 envelope de gelatina sem sabor 6 g, 1/2 colher (cha) de essencia de caramelo toffe (opcional), 3 claras, 1/2 xicara (cha) de agua, 1 colher (cha) de essencia de baunilha, 2 colheres (sopa) de glucose de milho","['Bata ate que a mistura esteja quase fria.', 'Derreta o chocolate em banho-maria ou no microondas, e espalhe uma porcao em cada molde da forma - nao pode ser uma camada muito fina - e leve a geladeira ate que endureca.', 'Com a batedeira em velocidade alta e as claras em neve, va adicionando a calda quente devagar, quando incorporar bem adicione a mistura de gelatina derretida com glucose.', 'Em um pires pequeno, hidrate a gelatina na agua, acrescente a glucose e leve ao microondas por 30 a 40 segundos ate derreter e misture.', 'Bata as claras em neve. Enquanto isso, ferva o acucar com a agua ate formar uma calda em ponto de bala mole - aproximadamente 8 minutos, ou quando as bolhas de fervura comecarem a estourar mais devagar e a calda estiver mais grossa.', 'Coloque o merengue nas forminhas, deixando um espaco para fechar com o chocolate restante.', 'Retire do molde e se delicie.', 'Leve novamente a geladeira ate que olhando atraves do molde o chocolate esteja opaco, o que facilita de desenformar.', 'Para essa receita voce vai precisar de pelo menos 5 moldes com 4 cavidades cada, para que nao seja necessario retirar a casquinha de chocolate da forma antes de rechear.', 'Reserve o restante do chocolate para cobrir, caso seja necessario derreta novamente.']",5 pessoas,2.0,https://www.daninoce.com.br/receitas/nha-benta/,nougat-marshmallow,8.0,30.0
3,3,3,marshmallow-de-baunilha-e-menta,"1 xicara de acucar de confeiteiro peneirado, 2 colheres de cha de extrato de baunilha (ou qualquer licor ou essencia que voce preferir), 1 pitadinha de sal, 20 gotas de corante verde hidrossoluvel, 1/2 xicara de agua filtrada, 2 colheres de sopa de gordura hidrogenada (somente para untar a forma), 2 xicaras de acucar, 12 folhas de gelatina, 15 folhas de gelatina, 1 xicara de glucose (xarope de milho), 2 colheres de sopa de licor de menta","['Quando tiver colocado toda a mistura de acucar aumente a velocidade da batedeira para media-alta e deixe bater por 5 minutos. O Marshmallow vai comecar a ficar branco e fofo.', 'Unte uma forma de aproximadamente 40x30cm com a gordura hidrogenada.', 'DICA: Nao deixe que o acucar ou a glucose grudem na borda da panela, pois isso pode fazer com que a calda queime nas bordas e escureca.', 'Corte os marshmallows em quadradinhos e passe no acucar de confeiteiro. Esta pronto! ;D', 'Jogue um pouco de acucar de confeiteiro por cima e deixe descansar por 6 horas.', 'Coloque a mistura na forma por cima do marshmallow de baunilha e arrume com a espatula.', 'Quando tiver colocado toda a mistura de acucar aumente a velocidade da batedeira para media-alta e deixe bater por 5 minutos. O marshmallow vai comecar a ficar branco e fofo.', 'Acrescente a o licor de menta, as gotas de corante e o sal. Aumente a velocidade para maxima e bata por mais 2 minutos.', 'Acrescente a baunilha (ou a essencia que preferir) e o sal. Aumente a velocidade para maxima e bata por mais 1 minuto.', 'Coloque a mistura na forma untada com a gordura hidrogenada e arrume com a espatula.', 'Quando a calda de acucar chegar a 112oC/115oC, retire do fogo, aumente a velocidade da batedeira para media e entao coloque a mistura de acucar lentamente.', 'Quando a calda de acucar chegar a 115degC, retire do fogo, aumente a velocidade da batedeira para media e entao coloque a mistura de acucar lentamente.', 'Em um bowl, coloque as folhas de gelatina com agua filtrada e gelo. Deixe descansar.', 'Coloque agua para ferver em uma panela pequena para fazer o banho-maria. Drene a gelatina e despreze a agua e o gelo.', 'Coloque a gelatina em banho-maria. Mexendo sempre, deixe que ela derreta. Cuidado para nao passar de 60oC.', 'Ligue a batedeira no minimo, acrescente a gelatina aos poucos.', 'Em uma panela media, coloque o acucar, metade da glucose e 1/2 xicara de agua em fogo medio. Coloque o termometro de acucar dentro da panela e deixe ferver ate chegar a 115degC, aproximadamente 7 minutos.', 'Coloque o restante da glucose na batedeira', 'Em uma panela media, coloque o acucar, metade da glucose e 1/2 xicara de agua em fogo medio. Coloque o termometro de acucar dentro da panela e deixe ferver ate chegar a 112oC / 115oC, aproximadamente 6 minutos.', 'Coloque a gelatina em banho-maria. Mexendo sempre, deixe que ela derreta. Cuidado para nao passar de 60degC.']",20 pessoas,40.0,https://www.daninoce.com.br/receitas/marshmallow-de-baunilha-e-menta/,nougat-marshmallow,15.0,360.0
4,4,4,pirulito-de-marshmallow-de-framboesa,"1 xicara de acucar de confeiteiro peneirado, 1 pitadinha de sal, 2 colheres de sopa de gordura hidrogenada (somente para untar a forma), 1/2 xicara de agua filtrada, 2 xicaras de acucar, 1/2 xicara de polpa de framboesa sem caroco e sem acucar, 1 xicara de glucose (xarope de milho), 14 folhas de gelatina","['Corte os marshmallows em quadradinhos e passe no acucar de confeiteiro. Esta pronto! ;D', 'Unte uma forma de, aproximadamente, 23x33cm com a gordura hidrogenada.', 'Coloque a gelatina em banho-maria. Mexendo sempre, deixe que ela derreta. Cuidado para nao passar de 40oC.', 'Quando a calda de acucar chegar a 115degC, retire do fogo, aumente a velocidade da batedeira para media e entao coloque a mistura de acucar lentamente.', 'Jogue um pouco de acucar de confeiteiro por cima e deixe descansar por 6 horas.', 'Coloque agua para ferver em uma panela pequena para fazer o banho-maria. Drene a gelatina e despreze a agua e o gelo.', 'Ligue a batedeira no minimo, acrescente a gelatina aos poucos.', 'Em uma panela media, coloque o acucar, metade da glucose, a polpa de framboesa e 1/2 xicara de agua em fogo medio. Coloque o termometro de acucar dentro da panela e deixe ferver ate chegar a 115degC, aproximadamente 7 minutos.', 'Acrescente o sal. Aumente a velocidade para maxima e bata por mais 1 minuto.', 'Coloque a mistura na forma untada e arrume com a espatula. Espete alguns palitinhos ou canudinhos, deixando um espaco de 1 dedo entre cada novo furo, para fazer os pirulitos.', 'Coloque o restante da glucose na batedeira.', 'DICA: Nao deixe que o acucar ou a glucose grudem na borda da panela, pois isso pode fazer com que a calda queime nas bordas e escureca.', 'Em um bowl, coloque as folhas de gelatina com agua filtrada e gelo. Deixe hidratar, o peso final da gelatina hidratada deve ser de 168 gramas.', 'Quando tiver colocado toda a mistura de acucar aumente a velocidade da batedeira para media-alta e deixe bater por 5 minutos. O Marshmallow vai comecar a ficar rosadinho e fofo.']",20 pessoas,30.0,https://www.daninoce.com.br/receitas/pirulito-de-marshmallow-de-framboesa/,nougat-marshmallow,7.0,360.0
5,5,5,geleia-de-pimenta,"2 pimentoes vermelhos sem pele e sem semente assados a 150degc por 1h, 3 dentes de alho, 1/2 colher de cha de sal, suco de 1 limao, 200 ml de suco de laranja, 2 macas com casca e sem semente, 12 unidades de pimentas dedo de moca sem as sementes, 3/4 xicara de acucar","['Cozinhe em fogo baixo por aproximadamente uma hora, mexendo de vez em quando.', 'Transfira os ingredientes para uma panela e acrescente os dentes de alho, o suco de laranja, o suco de limao, o acucar e o sal.', 'Processe as pimentas, os pimentoes e as macas ate obter uma mistura homogenea.', 'Quando a geleia estiver no ponto desejado, transfira para um pote e guarde na geladeira.']",,5.0,https://www.daninoce.com.br/receitas/geleia-de-pimenta/,geleia,60.0,60.0
6,6,6,panna-cotta-com-geleia-de-damasco,"3 colheres de sopa de agua de flor de laranjeira, 1/2 xicara de acucar, 1 lata de leite condensado, 2 xicaras de damascos secos picados, 5 colheres de sopa de agua, 5 folhas de gelatina incolor sem sabor = 10 gramas de gelatina em folha, 1 e 1/4 de xicara de creme de leite, 1/2 colher de cha de extrato de baunilha, 1 colher de cha de canela, 3 colheres de sopa de agua de rosas, 1/2 xicara de agua, 1/2 colher de cha de noz-moscada ralada, 1 colher de cha de cardamomo em po, 1 xicara de leite","['Derreta a gelatina em banho-maria ou no microondas, mas cuidado para nao passar de 35@C, para que ela nao perca suas propriedades.', 'Leve para gelar na geladeira ate que fiquem firmes, aproximadamente 6 horas.', 'Coloque em tacas para servir ou forminhas umidificadas para desenformar depois.', 'Bata no liquidificador os demais ingredientes junto com a gelatina derretida.', 'Coloque todos os ingredientes em uma panela e leve para ferver em fogo baixo, mexendo de vez em quando para nao grudar.', 'Quando os damascos tiverem amolecido, leve tudo para o liquidificador e bata ate que vire uma pasta.', 'Se preferir adicione mais 3 colheres de sopa de agua de rosas e mais 3 colheres de sopa de flor de laranjeira e bata mais um pouco, assim voce obtera uma consistencia mais liquida e um sabor mais pronunciado.', 'Tire a panna cotta da geladeira, coloque de 1 a 2 colheres de sopa da geleia por cima e decore com uma flor comestivel! ;D', 'Encha um bowl medio com agua gelada e coloque a gelatina para hidratar. Quando a gelatina estiver hidratada, aperte com as maos para drenar e pese a gelatina. O peso final deve ser de 60 gramas de gelatina hidratada.']",6 pessoas,15.0,https://www.daninoce.com.br/receitas/panna-cotta-com-geleia-de-damasco/,geleia,0.0,360.0
7,7,7,geleia-de-figo-e-framboesa,"65 gramas de acucar, 50 gramas de champagne ou prosecco, 110 gramas de framboesas, 225 gramas de figos maduros, 100 gramas de agua","['Corte os figos em 4 partes.', 'Coloque todos os ingredientes na panela e cozinhe em fogo medio por 30 a 40 minutos. Mexendo de vez em quando e amassando as framboesas.', 'Quando chegar na consistencia de geleia, transfira para um bowl. Cubra com plastico filme e leve para gelar.']",10 pessoas,10.0,https://www.daninoce.com.br/receitas/geleia-de-figo-e-framboesa/,geleia,30.0,120.0
8,8,8,geleia-de-amora-com-vinho-do-porto,"150 gramas de acucar cristal, 1 raspas de 1 laranja, 500 gramas de amora congelada, 200ml de vinho do porto","['Misture delicadamente e leve para cozinhar novamente ate atingir a consistencia de geleia.', 'Em uma panela media coloque as amoras e o acucar.', 'Leve para cozinhar em fogo baixo ate que as amoras fiquem macias.', 'Adicione o vinho do porto e as raspas da laranja.', 'Resfrie e guarde em potes hermeticos.']",15,10.0,https://www.daninoce.com.br/receitas/geleia-de-amora-com-vinho-do-porto/,geleia,30.0,60.0
9,9,9,geleia-de-damasco,"3 colheres de sopa de agua de flor de laranjeira, 1/2 xicara de acucar, 2 xicaras de damascos secos picados, 3 colheres de sopa de agua de rosas, 1 colher de cha de canela, 1/2 xicara de agua, 1/2 colher de cha de noz-moscada ralada, 1 colher de cha de cardamomo em po","['Se preferir adicione mais 3 colheres de sopa de agua de rosas e mais 3 colheres de sopa de flor de laranjeira e bata mais um pouco, assim voce obtera uma consistencia mais liquida e um sabor mais pronunciado.', 'Quando os damascos tiverem amolecido, leve tudo para o liquidificador e bata ate que vire uma pasta.', 'Coloque todos os ingredientes em uma panela e leve para ferver em fogo baixo, mexendo de vez em quando para nao grudar.']",10 pessoas,30.0,https://www.daninoce.com.br/receitas/geleia-de-damasco/,geleia,20.0,240.0
