,Sex,Fatal (Y/N)
0,M,N
1,M,N
2,M,N
3,M,N
4,M,N
5,M,N
6,F,N
7,M,Y
8,F,N
9,M,N
10,M,N
11,M,N
12,M,N
13,M,N
14,M,N
15,M,N
16,M,N
17,M,N
18,M,N
19,M,N
20,M,N
21,M,N
22,M,N
23,M,N
24,M,N
25,M,N
26,M,N
27,M,N
28,F,N
29,F,N
30,M,N
31,M,N
32,F,N
33,M,N
34,M,N
35,M,N
36,F,N
37,M,N
38,M,N
39,M,N
40,M,N
41,M,N
42,M,N
43,M,N
44,M,N
45,M,N
46,F,N
47,M,N
48,M,N
49,M,N
50,F,Y
51,M,N
52,M,N
53,M,Y
54,F,N
55,M,N
56,F,N
57,F,N
58,F,N
59,M,N
60,F,N
61,M,N
62,M,N
63,M,N
64,M,N
65,M,N
66,M,N
67,M,N
68,M,N
69,F,Y
70,M,N
71,M,N
72,M,N
73,F,N
74,M,N
75,M,N
76,M,N
77,M,N
78,M,N
79,M,Y
80,M,N
81,M,N
82,M,N
83,M,N
84,M,N
85,F,N
86,M,N
87,M,N
88,F,N
89,M,N
90,M,N
91,M,N
92,F,N
93,M,N
94,M,N
95,M,N
96,M,N
97,M,N
98,M,N
99,M,N
100,F,N
101,M,N
102,M,N
103,M,N
104,M,Y
105,M,N
106,F,N
107,M,N
108,F,N
109,M,N
110,M,N
111,F,N
112,M,N
113,F,N
114,M,N
115,M,N
116,M,N
117,M,N
118,M,N
119,M,N
120,F,Y
121,M,N
122,M,N
123,M,N
124,F,N
125,M,N
126,M,N
127,M,N
128,M,N
129,M,N
130,M,N
131,M,N
132,F,N
133,M,N
134,M,N
135,M,N
136,M,N
137,M,N
138,M,N
139,M,N
140,M,N
141,F,N
142,M,N
143,M,N
144,M,N
145,F,N
146,M,N
147,F,N
148,M,N
149,M,N
150,M,N
151,M,N
152,F,N
153,M,N
154,M,N
155,M,N
156,M,N
157,M,N
158,F,N
159,M,Y
160,M,N
161,M,N
162,M,N
163,M,N
164,M,N
165,M,N
166,M,N
167,F,N
168,M,N
169,M,N
170,M,N
171,M,N
172,M,N
173,M,N
174,M,N
175,M,N
176,F,N
177,M,N
178,M,N
179,M,N
180,M,N
181,M,N
182,F,N
183,M,N
184,M,N
185,M,N
186,M,N
187,F,N
188,F,N
189,F,N
190,M,N
191,F,N
192,M,N
193,F,N
194,F,N
195,M,N
196,F,N
197,M,N
198,M,N
199,M,Y
200,M,N
201,M,N
202,M,N
203,F,Y
204,M,N
205,M,N
206,M,N
207,M,N
208,M,N
209,M,Y
210,M,N
211,M,N
212,M,Y
213,M,N
214,M,Y
215,M,N
216,M,N
217,M,N
218,M,N
219,M,N
220,F,Y
221,M,Y
222,M,N
223,M,N
224,M,N
225,M,N
226,M,N
227,M,N
228,F,N
